שם,מספר אישי,מסגרת,תפקיד,טלפון,הכשירים
אורי כהן,9000001,מחלקה 1,מפקד כיתה,,"נהג, מפקד"
דניאל לוי,9000002,מחלקה 2,מפקד כיתה,,"נהג, מפקד"
יונתן מזרחי,9000003,מחלקה 3,מפקד כיתה,,"נהג, מפקד"
איתי פרץ,9000004,מחלקה 1,מפקד כיתה,,"נהג, מפקד"
נועם ביטון,9000005,מחלקה 2,מפקד כיתה,,"נהג, מפקד"
עומר אברהם,9000006,מחלקה 3,נהג,,נהג
גיא דהן,9000007,מחלקה 1,נהג,,נהג
רועי אזולאי,9000008,מחלקה 2,נהג,,נהג
אלון גבאי,9000009,מחלקה 3,נהג,,נהג
תומר שרון,9000010,מחלקה 1,נהג,,נהג
שחר נחום,9000011,מחלקה 2,נהג,,נהג
עידו בר-און,9000012,מחלקה 3,נהג,,נהג
ליאור דגן,9000013,מחלקה 1,נהג,,נהג
אסף הררי,9000014,מחלקה 2,נהג,,נהג
ניר שמעוני,9000015,מחלקה 3,לוחם,,מפקד
אביב רוזן,9000016,מחלקה 1,לוחם,,מפקד
מתן קפלן,9000017,מחלקה 2,לוחם,,מפקד
הראל אדרי,9000018,מחלקה 3,לוחם,,מפקד
יובל אוחיון,9000019,מחלקה 1,לוחם,,מפקד
עמית מלכה,9000020,מחלקה 2,לוחם,,מפקד
בר סבן,9000021,מחלקה 3,לוחם,,מפקד
רן עמר,9000022,מחלקה 1,לוחם,,מפקד
דור זיו,9000023,מחלקה 2,לוחם,,מפקד
שי ברק,9000024,מחלקה 3,לוחם,,
אלעד גל,9000025,מחלקה 1,לוחם,,
נדב נוי,9000026,מחלקה 2,לוחם,,
טל שגב,9000027,מחלקה 3,לוחם,,
אורן אלמוג,9000028,מחלקה 1,לוחם,,
ערן רגב,9000029,מחלקה 2,לוחם,,
יהונתן טוויג,9000030,מחלקה 3,לוחם,,
מאיה ארבל,9000031,מחלקה 1,לוחם,,
נועה יוגב,9000032,מחלקה 2,לוחם,,
שירה סלע,9000033,מחלקה 3,לוחם,,
תמר בן-דוד,9000034,מחלקה 1,לוחם,,
יעל קדם,9000035,מחלקה 2,לוחם,,
רוני אשכנזי,9000036,מחלקה 3,לוחם,,
עדי וקנין,9000037,מחלקה 1,לוחם,,
הילה חדד,9000038,מחלקה 2,לוחם,,
אורית סופר,9000039,מחלקה 3,לוחם,,
דנה נגר,9000040,מחלקה 1,לוחם,,
